and.youku.com                 	220.181.185.163
8.youku.com                   	43.250.15.34
r1.youku.com                  	80.231.126.240, 80.231.126.250
x.youku.com                   	43.250.12.23
vs.youku.com                  	118.26.203.135
hz.youku.com                  	103.41.143.72, 103.41.143.73, 103.41.143.74, 103.41.143.75
css.youku.com                 	64.71.142.113
jp.youku.com                  	1.85.32.130
cm.youku.com                  	220.181.60.62
adx.youku.com                 	10.100.188.86
hysk.youku.com                	211.151.50.105
gy.youku.com                  	43.250.15.38
v.youku.com                   	43.250.12.43
id.youku.com                  	59.82.1.48
trt.youku.com                 	211.151.146.173
mfs.youku.com                 	47.89.65.198, 47.89.65.199, 47.89.65.228, 47.89.65.229
fms.youku.com                 	43.250.14.26
dot.youku.com                 	43.250.14.30
star.youku.com                	59.82.246.32
pls.youku.com                 	43.250.12.47
md.youku.com                  	43.250.12.174
exo.youku.com                 	118.26.203.135
r4.youku.com                  	80.231.126.240, 80.231.126.250
rz.youku.com                  	103.41.143.246
cas.youku.com                 	10.100.51.71
iad.youku.com                 	59.82.12.132, 59.82.12.133
vq.youku.com                  	211.151.50.229, 211.151.50.230
zarh.youku.com                	118.98.96.151
kan.youku.com                 	123.125.105.138
fa.youku.com                  	103.41.143.37
cps.youku.com                 	211.151.50.17
res.youku.com                 	47.89.68.241, 47.89.68.242, 47.89.69.236, 47.89.69.237
folt.youku.com                	118.98.96.151
ku.youku.com                  	119.167.145.15
scan.youku.com                	10.10.73.172
fdfz.youku.com                	118.98.96.151
dlic.youku.com                	211.151.146.212, 211.151.146.213
zxkk.youku.com                	118.98.96.151
lp.youku.com                  	111.206.107.39, 111.206.107.40, 111.206.107.41
vapi.youku.com                	43.250.12.47
fr.youku.com                  	10.103.18.101
ls.youku.com                  	43.250.12.47
norz.youku.com                	118.98.96.151
vote.youku.com                	211.151.50.153
atm.youku.com                 	220.181.52.92
avip.youku.com                	59.82.3.51
smtp.youku.com                	60.247.104.126
quan.youku.com                	59.82.3.51
kfc.youku.com                 	60.29.238.4, 60.29.238.5, 60.29.238.6
lv.youku.com                  	43.250.14.39
aimg.youku.com                	211.151.146.103
mail.youku.com                	60.247.104.126
fans.youku.com                	123.57.142.216
dmlt.youku.com                	121.29.8.191
open.youku.com                	59.82.1.43
pay.youku.com                 	59.82.3.51
lc.youku.com                  	43.250.15.34
vali.youku.com                	123.125.18.108, 123.125.18.109
kids.youku.com                	43.250.14.47
soku.youku.com                	43.250.12.57
cyes.youku.com                	43.250.12.47
ding.youku.com                	43.250.15.25
shop.youku.com                	101.227.8.102
xing.youku.com                	43.250.15.46
wifi.youku.com                	218.60.4.61, 218.60.4.62
svpn.youku.com                	219.143.250.116
slog.youku.com                	43.250.12.47
